id;type;x;y;dist;mag;spec
Proxima Centauri;ev;217.4289;-62.6795;4.02;11.1;M5.5Ve
Gaia DR2 1824801659879180544;pm;297.3681;20.0396;4.17;~;~
NAME Barnard's star;by;269.4521;4.6934;5.64;9.5;M4V
Wolf 359;ev;164.1205;7.0147;7.43;13.5;dM6
HD 95735;ev;165.8341;35.9699;7.86;7.5;M2+V
* alf CMa B;wd;101.2888;-16.7169;8.24;8.4;DA1.9
G 272-61B;ev;24.7568;-17.9503;8.25;~;M6V
G 272-61A;ev;24.7557;-17.9507;8.39;~;M5.5V
Ross 154;ev;282.4557;-23.8362;9.18;10.4;M3.5Ve
Ross 248;by;355.4793;44.1774;9.75;~;M5.0V
* eps Eri;by;53.2327;-9.4583;9.94;3.7;K2V
HD 217987;pm;346.4668;-35.8531;10.15;7.4;M2V
Ross 128;ev;176.935;0.8046;10.41;11.2;dM4
V* EZ Aqr;ev;339.6399;-15.2999;10.51;12.4;M5V
* 61 Cyg B;ev;316.7303;38.742;10.79;6.0;K7V
* 61 Cyg A;by;316.7247;38.7494;10.79;5.2;K5V
HD 173739;pm;280.6946;59.6304;10.87;~;M3V
HD 173740;pm;280.6954;59.6269;10.87;~;M3.5V
V* GX And;ev;4.5954;44.023;10.99;~;M2V
V* GQ And;ev;4.6076;44.0272;10.99;11.0;M3.5Ve
G 51-15;ev;127.4556;26.776;11.05;~;M6.5Ve
* eps Ind;pm;330.8402;-56.786;11.23;4.7;K5V
* tau Cet;pm;26.017;-15.9375;11.27;3.5;G8V
L 372-58;pm;53.9987;-44.5127;11.34;13.1;M5.5V
* eps Ind B;bd;331.0441;-56.7828;11.40;24.1;T1V+T6V
V* YZ Cet;ev;18.1277;-16.999;11.47;12.1;M4.0Ve
BD+05 1668;pm;111.8521;5.2258;11.68;9.9;M3.5V
NAME Teegarden's Star;low;43.2537;16.8813;11.82;~;dM6
HD 33793;pm;77.9191;-45.0184;12.14;8.9;M1VIp
V* AX Mic;ev;319.3136;-38.8674;12.25;6.7;M1V
HD 239960B;ev;336.9991;57.6972;12.34;~;M4V
SCR J1845-6357;low;281.2719;-63.9632;12.36;17.4;M8.5V
HD 239960A;pm;336.9982;57.695;12.37;11.4;M3V
DENIS J104814.6-395606;low;162.0607;-39.9352;12.48;17.5;M8.5Ve:
Gaia DR2 4129144660321847040;Star;255.1137;-18.8329;12.66;~;~
Ross 614;ev;97.3475;-2.8136;12.70;11.1;M4.5V
BD-12 4523;by;247.5752;-12.6626;13.29;10.1;M3V
Wolf 28;wd;12.2912;5.3886;13.31;12.4;DZ7.5
Wolf 424 A;pm;188.3226;9.0211;13.35;~;~
HD 225213;ev;1.3518;-37.3574;13.41;8.6;M2V
V* TZ Ari;ev;30.054;13.0519;13.79;12.3;M4.5V
Wolf 424 B;pm;188.3224;9.0209;13.81;~;~
BD+68 946;pm;264.1079;68.3391;14.04;~;M3.0V
CD-46 11540;low;262.1664;-46.8952;14.05;9.4;M3V
LP 731-58;ev;162.0526;-11.336;14.07;15.8;M6.5V
LAWD 37;wd;176.4288;-64.8415;14.31;11.5;DQ
G 208-45;ev;298.4798;44.415;14.38;14.0;M6V
BD-15 6290;by;343.3197;-14.2637;14.42;10.2;M3.5V
G 208-44;ev;298.477;44.4143;14.48;13.1;M5.5Ve
L 143-23;pm;161.0885;-61.2098;14.91;13.9;M5.5V
G 158-27;pm;1.68;-7.5381;14.95;13.8;M5.5V
DENIS J025503.3-470049;bd;43.7654;-47.0143;15.02;22.9;L9
HD 88230;ev;152.8422;49.4542;15.03;6.6;K6VeFe-1
BD+44 2051;pm;166.3691;43.5268;15.13;~;M1.0Ve
BD+44 2051B;ev;166.3787;43.5216;15.14;14.5;M6.0V
BD+20 2465;ev;154.9012;19.87;15.32;9.5;dM3
HD 204961;pm;323.3916;-49.009;15.33;8.7;M2/3V
G 158-50;dbl;3.8671;-16.1338;15.39;11.5;M4V
CD-44 11909;pm;264.2653;-44.3192;15.45;10.9;M3.5
* omi02 Eri B;wd;63.8408;-7.6581;15.45;9.5;DA2.9
* omi02 Eri;ev;63.818;-7.6529;15.46;4.4;K0V
* omi02 Eri C;ev;63.8397;-7.6557;15.47;11.2;M4.5V
